timestamp,message
1762871725448,"{""time"":""2025-11-11T14:35:25.448Z"",""type"":""platform.initStart"",""record"":{""initializationType"":""on-demand"",""phase"":""init"",""runtimeVersion"":""dotnet:8.v66"",""runtimeVersionArn"":""arn:aws:lambda:eu-west-2::runtime:1ea9999bd115fed2866e80849239e64becf5a89defb86f89889a5a07ec60b5cc"",""functionName"":""AI4NG-QuestionEngine-dev-ExperimentsApi-OjinHqzq97P9"",""functionVersion"":""$LATEST"",""instanceId"":""2025/11/11/[$LATEST]13225071570542b7a24ca130c78ad941"",""instanceMaxMemory"":536870912}}"
1762871725726,"{""timestamp"":""2025-11-11T14:35:25.718Z"",""level"":""Warning"",""message"":""Using an in-memory repository. Keys will not be persisted to storage.""}
"
1762871725727,"{""timestamp"":""2025-11-11T14:35:25.727Z"",""level"":""Warning"",""message"":""Neither user profile nor HKLM registry available. Using an ephemeral key repository. Protected data will be unavailable when application exits.""}
"
1762871725741,"{""timestamp"":""2025-11-11T14:35:25.738Z"",""level"":""Information"",""message"":""Creating key {c20a63d9-716e-4616-becc-b1f7bf2ceed0} with creation date 2025-11-11 14:35:25Z, activation date 2025-11-11 14:35:25Z, and expiration date 2026-02-09 14:35:25Z."",""KeyId"":""{c20a63d9-716e-4616-becc-b1f7bf2ceed0}"",""CreationDate"":""2025-11-11 14:35:25Z"",""ActivationDate"":""2025-11-11 14:35:25Z"",""ExpirationDate"":""2026-02-09 14:35:25Z""}
"
1762871725756,"{""timestamp"":""2025-11-11T14:35:25.756Z"",""level"":""Warning"",""message"":""No XML encryptor configured. Key {c20a63d9-716e-4616-becc-b1f7bf2ceed0} may be persisted to storage in unencrypted form."",""KeyId"":""{c20a63d9-716e-4616-becc-b1f7bf2ceed0}""}
"
1762871725842,"{""timestamp"":""2025-11-11T14:35:25.841Z"",""level"":""Information"",""message"":""Application started. Press Ctrl\u002BC to shut down.""}
"
1762871725842,"{""timestamp"":""2025-11-11T14:35:25.842Z"",""level"":""Information"",""message"":""Hosting environment: Production"",""EnvName"":""Production""}
"
1762871725842,"{""timestamp"":""2025-11-11T14:35:25.842Z"",""level"":""Information"",""message"":""Content root path: /var/task"",""ContentRoot"":""/var/task""}
"
1762871725896,"{""time"":""2025-11-11T14:35:25.896Z"",""type"":""platform.start"",""record"":{""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""functionArn"":""arn:aws:lambda:eu-west-2:047719656259:function:AI4NG-QuestionEngine-dev-ExperimentsApi-OjinHqzq97P9"",""version"":""$LATEST"",""tracing"":{""spanId"":""8175455b8aa2d20c"",""type"":""X-Amzn-Trace-Id"",""value"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=454756509c0d7752;Sampled=1;Lineage=1:43adf637:0""}}}"
1762871726100,"{""timestamp"":""2025-11-11T14:35:26.099Z"",""level"":""Information"",""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""traceId"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=8175455b8aa2d20c;Sampled=1;Lineage=1:43adf637:0"",""message"":""Request starting {Protocol} POST application/json://235https3mybicfkv2.execute-api.eu-west-2.amazonaws.com/dev - /api/tasks {ContentLength}"",""Method"":""POST"",""Scheme"":""application/json"",""Host"":235,""PathBase"":""https"",""Path"":""3mybicfkv2.execute-api.eu-west-2.amazonaws.com"",""QueryString"":""/dev"",""ContentType"":""/api/tasks""}
"
1762871726420,"{""timestamp"":""2025-11-11T14:35:26.420Z"",""level"":""Information"",""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""traceId"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=8175455b8aa2d20c;Sampled=1;Lineage=1:43adf637:0"",""message"":""Executing endpoint \u0027AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)\u0027"",""EndpointName"":""AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)""}
"
1762871726500,"{""timestamp"":""2025-11-11T14:35:26.500Z"",""level"":""Information"",""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""traceId"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=8175455b8aa2d20c;Sampled=1;Lineage=1:43adf637:0"",""message"":""Route matched with {action = \u0022Create\u0022, controller = \u0022Tasks\u0022}. Executing controller action with signature System.Threading.Tasks.Task\u00601[Microsoft.AspNetCore.Mvc.IActionResult] Create(AI4NGExperimentsLambda.Models.CreateTaskRequest) on controller AI4NGExperimentsLambda.Controllers.TasksController (AI4NGExperimentsLambda)."",""RouteData"":""{action = \u0022Create\u0022, controller = \u0022Tasks\u0022}"",""MethodInfo"":""System.Threading.Tasks.Task\u00601[Microsoft.AspNetCore.Mvc.IActionResult] Create(AI4NGExperimentsLambda.Models.CreateTaskRequest)"",""Controller"":""AI4NGExperimentsLambda.Controllers.TasksController"",""AssemblyName"":""AI4NGExperimentsLambda""}
"
1762871726539,"{""timestamp"":""2025-11-11T14:35:26.521Z"",""level"":""Information"",""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""traceId"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=8175455b8aa2d20c;Sampled=1;Lineage=1:43adf637:0"",""message"":""Executed action AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda) in 1.4333ms"",""ActionName"":""AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)"",""ElapsedMilliseconds"":1.4333}
"
1762871726540,"{""timestamp"":""2025-11-11T14:35:26.540Z"",""level"":""Information"",""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""traceId"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=8175455b8aa2d20c;Sampled=1;Lineage=1:43adf637:0"",""message"":""Executed endpoint \u0027AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)\u0027"",""EndpointName"":""AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)""}
"
1762871726601,"{""timestamp"":""2025-11-11T14:35:26.601Z"",""level"":""Error"",""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""traceId"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=8175455b8aa2d20c;Sampled=1;Lineage=1:43adf637:0"",""message"":""[ERROR] POST /api/tasks: System.InvalidOperationException: Unable to resolve service for type \u0027AI4NGExperimentsLambda.Interfaces.ITaskService\u0027 while attempting to activate \u0027AI4NGExperimentsLambda.Controllers.TasksController\u0027.
   at Microsoft.Extensions.DependencyInjection.ActivatorUtilities.ThrowHelperUnableToResolveService(Type type, Type requiredBy)
   at lambda_method9(Closure, IServiceProvider, Object[])
   at Microsoft.AspNetCore.Mvc.Controllers.ControllerFactoryProvider.\u003C\u003Ec__DisplayClass6_0.\u003CCreateControllerFactory\u003Eg__CreateController|0(ControllerContext controllerContext)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Next(State\u0026 next, Scope\u0026 scope, Object\u0026 state, Boolean\u0026 isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.InvokeInnerFilterAsync()
--- End of stack trace from previous location ---
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeFilterPipelineAsync\u003Eg__Awaited|20_0(ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Routing.EndpointMiddleware.\u003CInvoke\u003Eg__AwaitRequestTask|7_0(Endpoint endpoint, Task requestTask, ILogger logger)
   at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Authentication.AuthenticationMiddleware.Invoke(HttpContext context)
   at AI4NGExperimentManagement.Shared.BaseStartup.\u003C\u003Ec.\u003C\u003CConfigure\u003Eb__1_0\u003Ed.MoveNext() in /home/runner/work/AI4NGExperimentManagementEngine/AI4NGExperimentManagementEngine/src/AI4NGExperimentManagement.Shared/BaseStartup.cs:line 108""}
"
1762871726603,"{""timestamp"":""2025-11-11T14:35:26.603Z"",""level"":""Error"",""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""traceId"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=8175455b8aa2d20c;Sampled=1;Lineage=1:43adf637:0"",""message"":""Unknown error responding to request: InvalidOperationException:
System.InvalidOperationException: Unable to resolve service for type \u0027AI4NGExperimentsLambda.Interfaces.ITaskService\u0027 while attempting to activate \u0027AI4NGExperimentsLambda.Controllers.TasksController\u0027.
   at Microsoft.Extensions.DependencyInjection.ActivatorUtilities.ThrowHelperUnableToResolveService(Type type, Type requiredBy)
   at lambda_method9(Closure, IServiceProvider, Object[])
   at Microsoft.AspNetCore.Mvc.Controllers.ControllerFactoryProvider.\u003C\u003Ec__DisplayClass6_0.\u003CCreateControllerFactory\u003Eg__CreateController|0(ControllerContext controllerContext)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Next(State\u0026 next, Scope\u0026 scope, Object\u0026 state, Boolean\u0026 isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.InvokeInnerFilterAsync()
--- End of stack trace from previous location ---
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeFilterPipelineAsync\u003Eg__Awaited|20_0(ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Routing.EndpointMiddleware.\u003CInvoke\u003Eg__AwaitRequestTask|7_0(Endpoint endpoint, Task requestTask, ILogger logger)
   at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Authentication.AuthenticationMiddleware.Invoke(HttpContext context)
   at AI4NGExperimentManagement.Shared.BaseStartup.\u003C\u003Ec.\u003C\u003CConfigure\u003Eb__1_0\u003Ed.MoveNext() in /home/runner/work/AI4NGExperimentManagementEngine/AI4NGExperimentManagementEngine/src/AI4NGExperimentManagement.Shared/BaseStartup.cs:line 108
--- End of stack trace from previous location ---
   at Amazon.Lambda.AspNetCoreServer.AbstractAspNetCoreFunction\u00602.ProcessRequest(ILambdaContext lambdaContext, Object context, InvokeFeatures features, Boolean rethrowUnhandledError)
InvalidOperationException:
System.InvalidOperationException: Unable to resolve service for type \u0027AI4NGExperimentsLambda.Interfaces.ITaskService\u0027 while attempting to activate \u0027AI4NGExperimentsLambda.Controllers.TasksController\u0027.
   at Microsoft.Extensions.DependencyInjection.ActivatorUtilities.ThrowHelperUnableToResolveService(Type type, Type requiredBy)
   at lambda_method9(Closure, IServiceProvider, Object[])
   at Microsoft.AspNetCore.Mvc.Controllers.ControllerFactoryProvider.\u003C\u003Ec__DisplayClass6_0.\u003CCreateControllerFactory\u003Eg__CreateController|0(ControllerContext controllerContext)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Next(State\u0026 next, Scope\u0026 scope, Object\u0026 state, Boolean\u0026 isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.InvokeInnerFilterAsync()
--- End of stack trace from previous location ---
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeFilterPipelineAsync\u003Eg__Awaited|20_0(ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Routing.EndpointMiddleware.\u003CInvoke\u003Eg__AwaitRequestTask|7_0(Endpoint endpoint, Task requestTask, ILogger logger)
   at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Authentication.AuthenticationMiddleware.Invoke(HttpContext context)
   at AI4NGExperimentManagement.Shared.BaseStartup.\u003C\u003Ec.\u003C\u003CConfigure\u003Eb__1_0\u003Ed.MoveNext() in /home/runner/work/AI4NGExperimentManagementEngine/AI4NGExperimentManagementEngine/src/AI4NGExperimentManagement.Shared/BaseStartup.cs:line 108
--- End of stack trace from previous location ---
   at Amazon.Lambda.AspNetCoreServer.AbstractAspNetCoreFunction\u00602.ProcessRequest(ILambdaContext lambdaContext, Object context, InvokeFeatures features, Boolean rethrowUnhandledError)
"",""errorType"":""System.InvalidOperationException"",""errorMessage"":""Unable to resolve service for type \u0027AI4NGExperimentsLambda.Interfaces.ITaskService\u0027 while attempting to activate \u0027AI4NGExperimentsLambda.Controllers.TasksController\u0027."",""stackTrace"":[""System.InvalidOperationException: Unable to resolve service for type \u0027AI4NGExperimentsLambda.Interfaces.ITaskService\u0027 while attempting to activate \u0027AI4NGExperimentsLambda.Controllers.TasksController\u0027."",""at Microsoft.Extensions.DependencyInjection.ActivatorUtilities.ThrowHelperUnableToResolveService(Type type, Type requiredBy)"",""at lambda_method9(Closure, IServiceProvider, Object[])"",""at Microsoft.AspNetCore.Mvc.Controllers.ControllerFactoryProvider.\u003C\u003Ec__DisplayClass6_0.\u003CCreateControllerFactory\u003Eg__CreateController|0(ControllerContext controllerContext)"",""at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Next(State\u0026 next, Scope\u0026 scope, Object\u0026 state, Boolean\u0026 isCompleted)"",""at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.InvokeInnerFilterAsync()"",""--- End of stack trace from previous location ---"",""at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeFilterPipelineAsync\u003Eg__Awaited|20_0(ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)"",""at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)"",""at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)"",""at Microsoft.AspNetCore.Routing.EndpointMiddleware.\u003CInvoke\u003Eg__AwaitRequestTask|7_0(Endpoint endpoint, Task requestTask, ILogger logger)"",""at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)"",""at Microsoft.AspNetCore.Authentication.AuthenticationMiddleware.Invoke(HttpContext context)"",""at AI4NGExperimentManagement.Shared.BaseStartup.\u003C\u003Ec.\u003C\u003CConfigure\u003Eb__1_0\u003Ed.MoveNext() in /home/runner/work/AI4NGExperimentManagementEngine/AI4NGExperimentManagementEngine/src/AI4NGExperimentManagement.Shared/BaseStartup.cs:line 108"",""--- End of stack trace from previous location ---"",""at Amazon.Lambda.AspNetCoreServer.AbstractAspNetCoreFunction\u00602.ProcessRequest(ILambdaContext lambdaContext, Object context, InvokeFeatures features, Boolean rethrowUnhandledError)""]}
"
1762871726605,"{""timestamp"":""2025-11-11T14:35:26.605Z"",""level"":""Information"",""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""traceId"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=8175455b8aa2d20c;Sampled=1;Lineage=1:43adf637:0"",""message"":""Request finished 521.8305 500 {Scheme}://{Host}{PathBase}POSThttps - 3mybicfkv2.execute-api.eu-west-2.amazonaws.com /dev /api/tasks {ElapsedMilliseconds}ms"",""Protocol"":521.8305,""Method"":500,""Path"":""POST"",""QueryString"":""https"",""StatusCode"":""3mybicfkv2.execute-api.eu-west-2.amazonaws.com"",""ContentLength"":""/dev"",""ContentType"":""/api/tasks""}
"
1762871726682,"{""time"":""2025-11-11T14:35:26.682Z"",""type"":""platform.report"",""record"":{""requestId"":""041fe903-e352-4cbe-a8aa-1df6d960be93"",""metrics"":{""durationMs"":785.779,""billedDurationMs"":1231,""memorySizeMB"":512,""maxMemoryUsedMB"":118,""initDurationMs"":444.628},""tracing"":{""spanId"":""8175455b8aa2d20c"",""type"":""X-Amzn-Trace-Id"",""value"":""Root=1-691349ad-76e087da7b75d6363c4bd273;Parent=454756509c0d7752;Sampled=1;Lineage=1:43adf637:0""},""status"":""success""}}"
1762871727820,"{""time"":""2025-11-11T14:35:27.820Z"",""type"":""platform.start"",""record"":{""requestId"":""a9f17082-93e9-4b05-8689-348e3215499d"",""functionArn"":""arn:aws:lambda:eu-west-2:047719656259:function:AI4NG-QuestionEngine-dev-ExperimentsApi-OjinHqzq97P9"",""version"":""$LATEST"",""tracing"":{""spanId"":""295320e0861e46c2"",""type"":""X-Amzn-Trace-Id"",""value"":""Root=1-691349af-15e02f4d49bad3e904affc95;Parent=46437e1a35d2f5d3;Sampled=1;Lineage=1:43adf637:0""}}}"
1762871727822,"{""timestamp"":""2025-11-11T14:35:27.821Z"",""level"":""Information"",""requestId"":""a9f17082-93e9-4b05-8689-348e3215499d"",""traceId"":""Root=1-691349af-15e02f4d49bad3e904affc95;Parent=295320e0861e46c2;Sampled=1;Lineage=1:43adf637:0"",""message"":""Request starting {Protocol} POST application/json://245https3mybicfkv2.execute-api.eu-west-2.amazonaws.com/dev - /api/tasks {ContentLength}"",""Method"":""POST"",""Scheme"":""application/json"",""Host"":245,""PathBase"":""https"",""Path"":""3mybicfkv2.execute-api.eu-west-2.amazonaws.com"",""QueryString"":""/dev"",""ContentType"":""/api/tasks""}
"
1762871727824,"{""timestamp"":""2025-11-11T14:35:27.824Z"",""level"":""Information"",""requestId"":""a9f17082-93e9-4b05-8689-348e3215499d"",""traceId"":""Root=1-691349af-15e02f4d49bad3e904affc95;Parent=295320e0861e46c2;Sampled=1;Lineage=1:43adf637:0"",""message"":""Executing endpoint \u0027AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)\u0027"",""EndpointName"":""AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)""}
"
1762871727824,"{""timestamp"":""2025-11-11T14:35:27.824Z"",""level"":""Information"",""requestId"":""a9f17082-93e9-4b05-8689-348e3215499d"",""traceId"":""Root=1-691349af-15e02f4d49bad3e904affc95;Parent=295320e0861e46c2;Sampled=1;Lineage=1:43adf637:0"",""message"":""Route matched with {action = \u0022Create\u0022, controller = \u0022Tasks\u0022}. Executing controller action with signature System.Threading.Tasks.Task\u00601[Microsoft.AspNetCore.Mvc.IActionResult] Create(AI4NGExperimentsLambda.Models.CreateTaskRequest) on controller AI4NGExperimentsLambda.Controllers.TasksController (AI4NGExperimentsLambda)."",""RouteData"":""{action = \u0022Create\u0022, controller = \u0022Tasks\u0022}"",""MethodInfo"":""System.Threading.Tasks.Task\u00601[Microsoft.AspNetCore.Mvc.IActionResult] Create(AI4NGExperimentsLambda.Models.CreateTaskRequest)"",""Controller"":""AI4NGExperimentsLambda.Controllers.TasksController"",""AssemblyName"":""AI4NGExperimentsLambda""}
"
1762871727824,"{""timestamp"":""2025-11-11T14:35:27.824Z"",""level"":""Information"",""requestId"":""a9f17082-93e9-4b05-8689-348e3215499d"",""traceId"":""Root=1-691349af-15e02f4d49bad3e904affc95;Parent=295320e0861e46c2;Sampled=1;Lineage=1:43adf637:0"",""message"":""Executed action AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda) in 0.1756ms"",""ActionName"":""AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)"",""ElapsedMilliseconds"":0.1756}
"
1762871727825,"{""timestamp"":""2025-11-11T14:35:27.825Z"",""level"":""Information"",""requestId"":""a9f17082-93e9-4b05-8689-348e3215499d"",""traceId"":""Root=1-691349af-15e02f4d49bad3e904affc95;Parent=295320e0861e46c2;Sampled=1;Lineage=1:43adf637:0"",""message"":""Executed endpoint \u0027AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)\u0027"",""EndpointName"":""AI4NGExperimentsLambda.Controllers.TasksController.Create (AI4NGExperimentsLambda)""}
"
1762871727860,"{""timestamp"":""2025-11-11T14:35:27.860Z"",""level"":""Error"",""requestId"":""a9f17082-93e9-4b05-8689-348e3215499d"",""traceId"":""Root=1-691349af-15e02f4d49bad3e904affc95;Parent=295320e0861e46c2;Sampled=1;Lineage=1:43adf637:0"",""message"":""[ERROR] POST /api/tasks: System.InvalidOperationException: Unable to resolve service for type \u0027AI4NGExperimentsLambda.Interfaces.ITaskService\u0027 while attempting to activate \u0027AI4NGExperimentsLambda.Controllers.TasksController\u0027.
   at Microsoft.Extensions.DependencyInjection.ActivatorUtilities.ThrowHelperUnableToResolveService(Type type, Type requiredBy)
   at lambda_method9(Closure, IServiceProvider, Object[])
   at Microsoft.AspNetCore.Mvc.Controllers.ControllerFactoryProvider.\u003C\u003Ec__DisplayClass6_0.\u003CCreateControllerFactory\u003Eg__CreateController|0(ControllerContext controllerContext)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Next(State\u0026 next, Scope\u0026 scope, Object\u0026 state, Boolean\u0026 isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.InvokeInnerFilterAsync()
--- End of stack trace from previous location ---
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeFilterPipelineAsync\u003Eg__Awaited|20_0(ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.\u003CInvokeAsync\u003Eg__Logged|17_1(ResourceInvoker invoker)
   at Microsoft.AspNetCore.Routing.EndpointMiddleware.\u003CInvoke\u003Eg__AwaitRequestTask|7_0(Endpoint endpoint, Task requestTask, ILogger logger)
   at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Authentication.AuthenticationMiddleware.Invoke(HttpContext context)
   at AI4NGExperimentManagement.Shared.BaseStartup.\u003C\u003Ec.\u003C\u003CConfigure\u003Eb__1_0\u003Ed.MoveNext() in /home/runner/work/AI4NGExperimentManagementEngine/AI4NGExperimentManagementEngine/src/AI4NGExperimentManagement.Shared/BaseStartup.cs:line 108""}
"
